159672	1	6
159672	5	0
159672	11	8000
159672	12	15000
159672	15	31
159672	2	400
159672	4	3600
159672	49	500
159672	48	1500
159672	59	0
159672	65	4000
159672	68	4000
159672	88	2
159672	9	0
159672	34	26766
159672	29	1
164242	13	152
164366	13	155
168607	13	157
168751	13	157
174001	13	151
174152	13	157
176823	13	153
176988	13	155
178262	13	153
178413	13	156
180512	13	153
183005	13	158
183108	13	154
183506	13	153
184858	13	152
186338	13	152
186438	35	2
186438	10	0
186438	7	1
186438	86	0
186438	29	2
186482	13	158
186938	35	2
186938	50	1
186938	42	0
186938	51	1
186938	44	0
186938	29	3
186938	48	1500
188438	35	2
188438	43	0
188438	45	0
188438	29	4
188440	35	2
188440	14	0
188440	15	31
188440	67	1
188440	29	6
188850	13	151
188850	29	8
189102	13	152
189204	13	159
189331	13	157
189437	13	170
189556	13	164
189680	13	176
189801	13	189
189920	13	165
190042	13	166
190168	13	175
190298	13	174
190430	13	152
190548	13	173
190675	13	159
190816	13	173
190972	13	152
191102	13	152
191260	13	177
191419	13	162
192022	13	152
192171	13	176
192333	13	174
192850	35	2
192850	8	1
192850	9	0
192850	34	9847
192850	29	1
193477	13	157
193638	13	158
193806	13	151
193978	13	163
194246	13	151
194587	13	154
195078	13	164
195435	13	167
195576	13	168
196690	13	161
196894	13	155
197087	13	164
199064	13	157
199240	13	162
199783	13	154
201513	13	152
201711	13	157
202697	35	2
202697	10	0
202697	7	2
202697	86	0
202697	29	2
203197	35	2
203197	50	1
203197	42	0
203197	51	1
203197	44	0
203197	29	3
203197	48	1500
203618	13	154
204030	13	153
204246	13	151
204697	35	2
204697	43	0
204697	45	0
204697	29	4
204699	35	2
204699	67	0
204699	29	8
205264	13	158
205655	13	153
205842	13	158
206026	13	156
206308	13	151
206418	13	155
206934	13	151
208026	13	156
208699	35	2
208699	8	2
208699	9	0
208699	34	14168
208699	29	1
209580	13	153
209747	13	167
212803	13	169
212930	13	164
213902	13	152
214995	13	159
215188	13	152
215334	13	151
215506	13	151
215606	13	153
218074	13	156
218486	13	156
220487	13	152
220646	13	173
221144	13	154
221564	13	151
222001	13	151
222867	35	2
222867	10	0
222867	7	3
222867	86	0
222867	29	2
223218	13	168
